;FT,SPDAT1,SPDAT2,SPDAT3,SPDAT4,SPDAT5,CAPLN1,CAPLN2,CAPLN3,CAPLN4,CAPLN5,CAPLN6,CAPLN7
1,35,24,20,16,13,10000,10000,10000,10000,10000,10000,10000
2,62,46,42,28,22,930,892,854,835,815,796,778
3,53,34,28,23,19,840,806,772,754,737,720,703
4,46,29,24,22,18,666,633,606,586,567,548,530
5,38,27,22,21,16,515,489,468,453,438,423,409
6,35,24,20,18,13,412,391,375,362,350,339,328
7,15,15,15,15,15,300,300,300,300,300,300,300
12,60,60,60,60,60,1058,1016,984,963,942,922,902
13,53,53,53,53,53,1021,981,950,930,910,890,871
14,48,48,48,48,48,985,946,916,896,877,858,840
15,43,43,43,43,43,948,911,882,863,845,826,809
30,35,35,35,35,35,1600,1300,1100,900,900,900,900
31,55,55,55,55,55,1494,1494,1419,1359,1315,1285,1255
32,62,62,62,62,62,1718,1718,1632,1563,1512,1477,1443
33,67,67,67,67,67,1755,1755,1668,1597,1545,1510,1474
34,67,67,67,67,67,2105,2105,1901,1772,1685,1626,1574
35,75,75,75,75,75,1793,1793,1703,1631,1578,1542,1506
36,75,75,75,75,75,2143,2143,1936,1806,1718,1658,1606
37,70,70,70,70,70,1938,1938,1841,1764,1705,1667,1628
38,70,70,70,70,70,1938,1938,1841,1764,1705,1667,1628
39,70,70,70,70,70,1938,1938,1841,1764,1705,1667,1628
40,77,77,77,77,77,1800,1800,1710,1638,1584,1548,1512
41,23,23,23,23,23,1200,900,600,600,600,600,600
42,26,26,26,26,26,924,887,850,830,811,792,773
